app_name	GPSSample::en	GPSSample::es	GPSSample::fr	GPSSample::pt	GPSSample::ru	GPSSample::in	GPSSample::tl	GPSSample::fa-rAF	GPSSample::ps	
enter_current_pin	Enter Current Pin	Introducir PIN actual	Saisissez le code PIN actuel	Insirar o PIN atual	Введите текущий PIN-код	Masukkan Pin Saat Ini	Ilagay ang Kasalukuyang Pin	پین فعلی را وارد کنید	اوسنی پن داخل کړئ	
enter_new_pin	Re-Enter New PIN	Vuelva a introducir el nuevo PIN	Saisissez à nouveau votre code PIN	Introduzir novamente o novo PIN	Повторный ввод нового PIN-кода	Masukkan kembali PIN Baru	Muling Ipasok ang Bagong PIN	پین جدید را دوباره وارد کنید	نوی پن بیا داخل کړئ	
re_enter_new_pin	Re-Enter New PIN	Vuelva a introducir el nuevo PIN	Saisissez à nouveau votre code PIN	Introduzir novamente o novo PIN	Повторный ввод нового PIN-кода	Masukkan kembali PIN Baru	Muling Ipasok ang Bagong PIN	پین جدید را دوباره وارد کنید	نوی پن بیا داخل کړئ	
select_a_time	Select a Time	Seleccione una hora	Sélectionnez une heure	Selecionar uma hora	Выбрать время	Pilih Waktu	Pumili ng Oras	انتخاب زمان	یو وخت وټاکئ	
UUID	UUID	UUID	UUID	UUID	UUID	UUID	UUID	UUID	یو یو آی ډي	
latitude	Latitude	Latitud	Latitude	Latitude	Широта	Garis Lintang	Latitude	عرض جغرافیایی	عرض البلد	
longitude	Longitude	Longitud	Longitude	Longitude	Долгота	Garis bujur	Longitude	طول جغرافیایی	طول البلد	
last_updated	Last Updated	Última actualización	Dernière mise à jour	Última atualização	Последнее обновление	Terakhir Diperbarui	Huling Na-update	آخرین به	وروستی ځل تازه شوی	
status	Status	Estado	Statut	Estado	Статус	Status	Katayuan	وضعیت	حالت	
description	Description	Descripción	Description de l'image	Descrição	Описание	Keterangan	Paglalarawan	توضیحات	تشریح	
add_image	Add Image	Añadir imagen	Ajouter une image	Adicionar imagem	Добавить изображение	Menambahkan gambar	Magdagdag ng Larawan	افزودن تصویر	انځور اضافه کړئ	
enumeration_areas	Enumeration Areas	Áreas de Enumeración	Zones de dénombrement	Áreas de enumeração	Области регистрации	Daerah Pencacahan	Mga Lugar ng Enumeration	مناطق شمارش	د شمېرنې سیمې	
enter_team_name	Enter Team Name	Ingresar nombre de equipo	Saisissez le nom de l'équipe	Insira nome da equipe	Введите название команды	Masukkan Nama Tim	Ilagay ang Pangalan ng Koponan	نام تیم را وارد کنید	د ټیم نوم ولیکئ	
assign_households	Assign Households	Asignar hogares	Assigner les ménages	Atribuir agregados familiares	Назначить домохозяйства	Tetapkan Rumah Tangga	Magtalaga ng mga Sambahayan	خانوارها را تخصیص دهید	کورنۍ وټاکئ	
sampling_type	Sampling Type	Tipo de Muestreo	Type d'échantillonnage	Tipo de amostragem	Тип выборки	Jenis Pengambilan Sampel	Uri ng Sampling	نوع نمونه	د نمونې ډول	
generating_qr_code	Generating QR Code…	Generar Código QR...	Générer un code QR...	Gerar código QR...	Генерация QR-кода...	Menghasilkan Kode QR…	Bumubuo ng QR Code...	در حال تولید کد QR…	د QR کوډ جوړول...	
samples	Samples	Muestras	Échantillons	Amostras	Образцы	Sampel	Mga sample	نمونه	نمونې	
you_don_t_have_any_samples_for_this_study	You do not have any samples for this study	No tiene muestras para este estudio	Vous n'avez pas d'échantillons pour cette étude	Não tem amostras para este estudo	У вас нет выборки для этого исследования	Anda tidak memiliki sampel untuk penelitian ini	Wala kang anumang mga sample para sa pag-aaral na ito	شما برای این مطالعه هیچ نمونه	د دې مطالعې لپاره تاسو کوم نمونې نلرئ	
enum_saved_doc	Enumeration has been saved to the Documents directory.	Enumeración se ha guardado en el directorio Documentos.	Le dénombrement a été sauvegardée dans le répertoire Documents.	A enumeração foi guardada no diretório Documentos.	В директорию Документы сохранен файл регистрации.	Pencacahan telah disimpan ke direktori Dokumen.	Ang enumerasyon ay nai-save sa direktoryo ng Mga Dokumento.	شمارش به پوشه اسناد ذخیره شد.	شمېرنه د اسنادو په فولډر کې خوندي شوه.	
config_saved_doc	Configuration has been saved to the Documents directory.	La configuración se ha guardado en el directorio Documentos.	Configuration suavegardée dans le répertoire Documents.	A configuração foi guardada no diretório Documentos.	Конфигурация сохранена в каталоге Документы.	Konfigurasi telah disimpan ke direktori Dokumen.	Ang configuration ay nai-save sa Documents directory.	پیکربندی به پوشه اسناد ذخیره شد.	تشکیلات د اسنادو په فولډر کې خوندي شول.	
nobody_home	Nobody home	Nadie en casa	Personne à la maison	Ninguém em casa	Никого нет дома	Tidak ada orang di rumah	Walang tao sa bahay	هیچ	څوک نشته	
export_enum_data	Export Enumeration Data	Exportar datos de enumeración	Exporter des données de dénombrement	Exportar dados de enumeração	Экспорт данных регистрации	Ekspor Data Pencacahan	I-export ang Data ng Enumeration	صادرات داده	د شمېرنې ډیټا صادرول	
delete_landmark_message	Are you sure you want to permanently delete this landmark?	¿Está seguro de que desea eliminar definitivamente este hito?	Êtes-vous sûr de vouloir supprimer définitivement ce point de repère ?	Tem a certeza de que pretende eliminar permanentemente esta referência?	"Вы уверены, что хотите навсегда удалить этот ориентир?"	Apakah Anda yakin ingin menghapus landmark ini secara permanen?	Sigurado ka bang gusto mong permanenteng tanggalin ang landmark na ito?	آیا مطمئن هستید که می	ایا تاسو ډاډه یاست چې غواړئ دا نښه د تل لپاره حذف کړئ؟	
subaddress	Subaddress	Subdirección	Sous-adresse	Sub-endereço	Субадрес	Subalamat	Subaddress	زیرآدرس	فرعي پته	
sampled	Sampled	Muestreo	Échantillonnés	Amostragem	Выборочный	diambil sampelnya	Na-sample	نمونه برداری شده	نمونې اخیستل شوی	
completed_enumeration	Completed Enumeration	Enumeración completada	Dénombrement terminé	Enumeração concluída	Завершена регистрация	Pencacahan Komplit	Nakumpleto ang Enumeration	فهرست	تکمیل شوی لیست	
incomplete_enumeration	Incomplete Enumeration	Enumeración incompleta	Dénombrement incomplet	Enumeração Incompleta	Неполная регистрация	Pencacahan Tidak Lengkap	Hindi Kumpletong Enumeration	فهرست	ناپوره لیست	
dismiss	Dismiss	Descartar	Supprimer	Excluir	Пропустить	Membubarkan	I-dismiss	رد کردن	لېږدول	
delete	Delete	Borrar	Supprimer	Eliminar	Удалить	Menghapus	Tanggalin	حذف	مخکې کول	
launching_odk_collect_application	Launching ODK Collect Application...	Lanzamiento de la aplicación ODK Collect...	Lancement de l'application ODK Collect...	Iniciar a aplicação ODK Collect...	Запуск приложения ODK Collect...	Meluncurkan Aplikasi ODK Collect...	Inilunsad ang ODK Collect Application...	راه	د ODK Collect اپلیکیشن پیلېږي...	
filters	Filters (combines rules)	Filtros (Combinación de reglas)	Filtres (combinent des règles)	Filtros (combina regras)	Фильтры (объединяет правила)	Filter (menggabungkan aturan)	Mga Filter (pinagsasama ang mga panuntunan)	فیلترها (ترکیب قواعد)	فلټرونه (قواعد یوځای کوي)	
new_location	Identify Location	Identificar ubicación	Identifier le lieu	Identificar a localização	Идентифицировать местоположение	Identifikasi Lokasi	Tukuyin ang Lokasyon	مکان را شناسایی کنید	موقعیت وپیژنئ	
delete_configuration	The current configuration will be replaced by the import.  Would you like to proceed?	La configuración actual será reemplazada por la importación.  ¿Desea continuar?	La configuration actuelle sera remplacée par l'importation.  Souhaitez-vous continuer ?	A configuração atual será substituída pela importação. Deseja prosseguir? 	Текущая конфигурация будет заменена импортом.  Хотите продолжить?	Impor data akan menggantikan konfigurasi saat ini. Apakah Anda ingin melanjutkan?	Ang kasalukuyang configuration ay papalitan ng import. Gusto mo bang magpatuloy?	 پیکربندی فعلی با واردات جایگزین خواهد شد.  آیا مایل به ادامه هستید؟	اوسنۍ تشکیلات به د واردولو له لارې بدل شي.  ایا غواړئ پرمخ لاړ شئ؟	
total_population	Total Population Size	Tamaño total de la población	Taille totale de la population	Tamanho total da população	Общий размер популяции	Jumlah Populasi Total	Kabuuang Laki ng Populasyon	اندازه کل جمعیت	د ټول نفوس اندازه	
enter_the_total_population_size	Enter the total population size	Introduzca el tamaño total de la población	Saisissez la taille totale de la population	Introduza o tamanho total da população	Введите общий размер популяции.	Masukkan jumlah populasi total	Ilagay ang kabuuang laki ng populasyon	اندازه کل جمعیت را وارد کنید	د ټول نفوس اندازه ولیکئ	
total_population_size_error	The total population size must be greater than 0	El tamaño total de la población debe ser superior a 0	La taille totale de la population doit être supérieure à 0	O tamanho total da população tem de ser superior a 0	Размер популяции должен быть больше 0	Ukuran total populasi harus lebih besar dari 0	Ang kabuuang laki ng populasyon ay dapat na higit sa 0	اندازه کل جمعیت باید بزرگتر از صفر باشد	د ټول نفوس اندازه باید له صفر څخه ډیره وي	
sample_size_error	The sample size must be greater than 0	El tamaño de la muestra debe ser superior a 0	La taille de l'échantillon doit être supérieure à 0	O tamanho da amostra deve ser maior que 0	Размер выборки должен быть больше 0	Ukuran sampel harus lebih besar dari 0	Ang laki ng sample ay dapat na mas malaki sa 0	اندازه نمونه باید از صفر بزرگتر باشد	د نمونې اندازه باید له صفر څخه ډیره وي	
simple_random_sampling_label	Total Sample Size Across All Clusters	Tamaño total de la muestra en todos los conglomerados	Taille totale de l'échantillon pour toutes les grappes	Tamanho total da amostra em todos os clusters	Общий размер выборки по всем кластерам	Total Ukuran Sampel di Semua Cluster	Kabuuang Laki ng Sample sa Lahat ng Cluster	مجموع اندازه نمونه در تمام خوشه	په ټولو خوشو کې د نمونې ټولیز اندازه	
cluster_sampling_label	Sample Size Per Cluster	Tamaño de la muestra por conglomerado	Taille de l'échantillon par grappe	Tamanho da amostra por agrupamento	Размер выборки для каждого кластера	Ukuran Sampel Per Cluster	Sukat ng Sample Bawat Cluster	اندازه نمونه برای هر خوشه	په هره خوشه کې د نمونې اندازه	
show_enumeration_info	Show Enumeration Info	Mostrar información de enumeración	Afficher les informations sur le dénombrement	Mostrar informações de enumeração	Показать информацию о зоне регистрации	Tampilkan Info Pencacahan	Ipakita ang Enumeration Info	نمایش اطلاعات شمارش	د شمېرنې معلومات وښایاست	
please_enter_a_name	Please enter a name for this field.	Introduzca un nombre para este campo.	Veuillez saisir un nom pour ce champ.	Introduza um nome para este campo.	"Пожалуйста, введите имя для этого поля."	Silakan masukkan nama untuk bidang ini.	Mangyaring magpasok ng pangalan para sa field na ito.	لطفاً برای این فیلد یک نام وارد کنید.	مهرباني وکړئ د دې ساحې لپاره یو نوم ولیکئ.	
please_enter_a_subaddress	Please enter a unique sub-address.	Introduzca una subdirección única.	Veuillez saisir une sous-adresse unique.	Introduza um sub-endereço único.	Укажите уникальный субадрес.	Silakan masukkan sub-alamat unik.	Mangyaring magpasok ng natatanging sub-address.	لطفاً یک زیرآدرس منحصربه	مهرباني وکړئ یو ځانګړی فرعي پته ولیکئ.	
please_select_team_boundary	Please select the team boundary.	"Por favor, seleccione el límite del equipo."	Veuillez sélectionner le périmètre de l'équipe.	Seleccione o limite da equipa.	"Пожалуйста, выберите границу группы."	Silakan pilih batas tim.	Mangyaring piliin ang hangganan ng koponan.	لطفاً مرز تیم را انتخاب کنید.	مهرباني وکړئ د ټیم پوله وټاکئ.	
enum_area_name_property	Enter the value of the Enumeration Area Name property	Introduzca el valor de la propiedad Nombre del área de enumeración	Saisissez la valeur de la propriété: Nom de la zone de dénombrement	Introduzir o valor da propriedade Nome da área de enumeração	"Введите значение свойства ""Имя области регистрации""."	Masukkan nilai properti Nama Area Pencacahan	Ilagay ang halaga ng property ng Enumeration Area Name	مقدار خاصیت نام ناحیه شمارش را وارد کنید.	د انومریشن ایریا نوم پراپرټۍ ارزښت داخل کړئ	
downloading_map_tiles	Downloading Map Tiles...	Descargando Mosaicos de Mapa...	Téléchargement des tuiles de carte...	Descarregamento de Map Tiles...	Загрузка плиток карты...	Mengunduh Ubin Peta...	Dina-download ang Map Tile...	در حال دانلود کاشی	د نقشې ټایلونه ډاونلوډیږي...	
style_pack_download_failed	Map Style Pack Download Failed	Fallo en la descarga del paquete de estilos de mapa	Échec du téléchargement du Map Style Pack	Falha no download do pacote de estilos de mapa	Загрузка пакета стилей карты не удалась	Pengunduhan Paket Gaya Peta Gagal	Nabigo ang Pag-download ng Map Style Pack	دانلود بسته سبک نقشه ناموفق بود	د نقشې سټایل پيک ډاونلوډ ناکام شو	
tile_pack_download_failed	Map Tile Pack Download Failed	Descarga fallida del paquete de mosaicos de mapa	Le téléchargement du Map Tile Pack a échoué	Falha na transferência do pacote de mosaicos de mapas	Загрузка пакета плиток карты не удалась	Pengunduhan Paket Ubin Peta Gagal	Nabigo ang Pag-download ng Map Tile Pack	دانلود بسته کاشی	د نقشې ټایل پيک ډاونلوډ ناکام شو	
download_map_tiles_now	Would you like to download map tiles now?	¿Desea descargar los mosaicos de mapa ahora?	Voulez-vous télécharger les tuiles de carte maintenant ?	Gostaria de descarregar agora as peças do mapa?	Вы хотите загрузить плитки карты сейчас?	Apakah Anda ingin mengunduh petak peta sekarang?	Gusto mo bang mag-download ng mga tile ng mapa ngayon?	آیا می	ایا تاسو غواړئ چې اوس د نقشې ټایلونه ډاونلوډ کړئ؟	
delete_map_tile_region	Are you sure you want to delete this Map Tile Region?	¿Está seguro de que desea eliminar esta Región de Baldosas de Mapa?	Êtes-vous sûr de vouloir supprimer cette région de tuiles de carte ?	Tem a certeza de que pretende apagar esta Região de Map Tile?	"Вы уверены, что хотите удалить этот регион плиток карты?"	Apakah Anda yakin ingin menghapus Wilayah Petak Peta ini?	Sigurado ka bang gusto mong tanggalin itong Map Tile Region?	مطمئنید می	ایا تاسو ډاډه یاست چې غواړئ دا د نقشې ټایل سیمه حذف کړئ؟	
import_enumeration_area	Import Enumeration Area	Importar área de enumeración	Importez une zone de dénombrement	Importar área de enumeração	Импортировать область регистрации	Impor Area Pencacahan	Lugar ng Pag-import ng Enumeration	وارد کردن منطقه شمارش	د شمېرنې ساحې واردول	
create_enumeration_area	Create Enumeration Area	Crear área de enumeración	Créez une zone de dénombrement	Criar área de enumeração	Создать область регистрации	Buat Area Pencacahan	Gumawa ng Enumeration Area	ایجاد منطقه شمارش	د شمېرنې ساحه جوړول	
add_household	Add Household	Añadir hogar	Ajoutez un ménage	Adicionar agregado familiar	Добавить домохозяйство	Tambahkan Rumah Tangga	Magdagdag ng Sambahayan	افزودن خانوار	کورنۍ اضافه کړئ	
define_map_tile_cache_region	Define map tile cache region	Definir región de caché de mosaicos de mapa	Définissez la région de cache des tuiles de la carte	Definir região de cache de mosaicos	Определить регион кэширования плиток карты	Tentukan cache petak peta	Tukuyin ang rehiyon ng cache ng tile ng mapa	تعریف ناحیهٔ کش کاشی نقشه	د نقشې ټایلونو د کیش سیمې تعریفول	
download_map_tiles	Download map tiles	Descargar mosaicos de mapa	Téléchargez les tuiles de la carte	Descarregar mosaicos do mapa	Загрузить плитки карты	Unduh petak peta	Mag-download ng mga tile ng mapa	دانلود کاشی	د نقشې ټایلونه ډاونلوډ کړئ	
center_on_location	Center on location	Centrar en ubicación	Centrez sur l'emplacement	Centrar na localização	Центрирование по местоположению	Pusatkan pada lokasi	Sentro sa lokasyon	مرکز بر روی مکان	پر موقعیت مرکز کړئ	
less_than_equal	Less Than Or Equal	Menor o igual que	Inférieur ou égal	Menor que ou igual	Меньше или равно	Kurang Dari Atau Sama Dengan	Mas Mababa sa O Katumbas	کمتر یا مساوی	له یا مساوي کم	
gps_accuracy_error	GPS accuracy is less than the required accuracy	La precisión del GPS es inferior a la requerida	La précision du GPS est inférieure à la précision requise	A precisão do GPS é inferior à precisão exigida	Точность GPS меньше требуемой точности	Akurasi GPS kurang dari akurasi yang dibutuhkan	Ang katumpakan ng GPS ay mas mababa kaysa sa kinakailangang katumpakan	دقت GPS کمتر از دقت مورد نیاز است	د GPS دقت له اړین دقت څخه کم دی	
gps_location_error	You are currently too far away from this location	Se encuentra demasiado lejos de esta ubicación	Vous êtes actuellement trop loin de cet emplacement	Está atualmente demasiado longe desta localização	Вы находитесь слишком далеко от этого места	Anda saat ini terlalu jauh dari lokasi ini	Kasalukuyan kang napakalayo sa lokasyong ito	شما در حال حاضر از این مکان بسیار دور هستید	تاسو اوسمهال له دې ځایه ډېر لرې یاست	
good	GOOD	BUENA	BON	BOA	ХОРОШО	BAGUS	MABUTI	خوب	ښه	
poor	POOR	POBRE	MAUVAIS	RUIM	ПЛОХО	MISKIN	KAWAWA	بد	خراب	
unknown	UNKNOWN	DESCONOCIDO	INCONNU	DESCONHECIDA	НЕИЗВЕСТНО	TIDAK DIKENAL	HINDI ALAM	نامعلوم	نامعلوم	
legend	Legend	Leyenda	Légende	Legenda	Легенда	Legenda	Alamat	افسانه	نښان	
select_date_type	Please select the Date type	Seleccione el tipo de fecha	Veuillez sélectionner le type de date	Seleccione o tipo de data	"Пожалуйста, выберите тип даты"	Silakan pilih jenis Tanggal	Pakipili ang uri ng Petsa	لطفاً نوع تاریخ را انتخاب کنید	مهرباني وکړئ د نېټې ډول وټاکئ	
contains	Contains	Contiene	Contient	Contém	Содержит	Mengandung	Naglalaman	حاوی	لري	
collection_saved_doc	Collection has been saved to the Documents directory	La colección se ha guardado en el directorio Documentos	La collecte a été enregistrée dans le répertoire Documents	A coleção foi guardada no diretório Documentos	Коллекция была сохранена в каталоге Документы	Koleksi telah disimpan ke direktori Dokumen	Ang koleksyon ay nai-save sa direktoryo ng Mga Dokumento	مجموعه در دایرکتوری اسناد ذخیره شد	ټولګه د اسنادو ډایرکټرۍ ته خوندي شوه	
invalid_operator	The selected operator is not valid for the selected rule	El operador seleccionado no es válido para la regla seleccionada	L'opérateur sélectionné n'est pas valide pour la règle sélectionnée	O operador selecionado não é válido para a regra selecionada	Выбранный оператор не действителен для выбранного правила	Operator yang dipilih tidak valid untuk aturan yang dipilih	Ang napiling operator ay hindi wasto para sa napiling panuntunan	عملگر انتخاب	ټاکل شوی آپریټر د ټاکل شوي قانون لپاره معتبر نه دی	
about_gpssample	About GPSSample	Acerca de GPSSample	À propos de GPSSample	Sobre o GPSSample	О компании GPSSample	Tentang GPSSample	Tungkol sa GPSSample	درباره GPSSample	د GPSSample په اړه	
privacy_statement	Privacy Statement	Declaración de privacidad	Déclaration de confidentialité	Declaração de privacidade	Положение о конфиденциальности	Pernyataan Privasi	Pahayag ng Privacy	بیانیه حریم خصوصی	د محرمیت بیانیه	
terms_and_conditions	Terms and Conditions	Condiciones de uso	Conditions d'utilisation	Termos e Condições	Условия и положения	Syarat dan Ketentuan	Mga Tuntunin at Kundisyon	شرایط و ضوابط	اصول او شرایط	
show_map	Show Map	Mostrar mapa	Afficher la carte	Mostrar mapa	Показать карту	Tampilkan Peta	Ipakita ang Mapa	نمایش نقشه	نقشه وښایاست	
number_of_residents	Number of Residents	Número de residentes	Nombre de résidents	Número de residentes	Количество жителей	Jumlah Penduduk	Bilang ng mga Residente	تعداد ساکنان	د اوسیدونکو شمېر	
end_user_license_agreement	End User License Agreement	Acuerdo de licencia de usuario final	Accord de licence pour l'utilisateur final	Contrato de Licença de Utilizador Final	Лицензионное соглашение с конечным пользователем	Perjanjian Lisensi Pengguna	Kasunduan sa Lisensya ng End User	قرارداد مجوز کاربر نهایی	د وروستي کارونکي د جواز تړون	
code_of_conduct	Code of Conduct	Código de conducta	Code de conduite	Código de Conduta	Кодекс поведения	Kode etik	Code of Conduct	آیین	د چلند اصول	
clear_map	Are you sure you want to clear the map?	¿Está seguro de que quiere borrar el mapa?	Êtes-vous sûr de vouloir effacer la carte ?	Tens a certeza de que queres limpar o mapa?	"Вы уверены, что хотите очистить карту?"	Apakah Anda yakin ingin menghapus peta?	Sigurado ka bang gusto mong i-clear ang mapa?	مطمئن هستید که می	ایا تاسو ډاډه یاست چې غواړئ نقشه پاکه کړئ؟	
delete_point	Are you sure you want to remove the last point?	¿Está seguro de que quiere eliminar el último punto?	Êtes-vous sûr de vouloir supprimer le dernier point ?	Tem a certeza de que pretende remover o último ponto?	"Вы уверены, что хотите удалить последнюю точку?"	Apakah Anda yakin ingin menghapus poin terakhir?	Sigurado ka bang gusto mong alisin ang huling punto?	مطمئن هستید که می	ایا تاسو ډاډه یاست چې غواړئ وروستی ټکی لرې کړئ؟	
enumeration_area	Enumeration Area	Área de Enumeración	Zone de dénombrement	Área de enumeração	Зона регистрации	Daerah Pencacahan	Lugar ng Enumeration	منطقه شمارش	د شمېرنې ساحه	
please_select_a_role	Please select a role	Seleccione un rol	Veuillez sélectionner un rôle	"Por favor, seleccione uma função"	"Пожалуйста, выберите роль"	Silakan pilih peran	Mangyaring pumili ng isang tungkulin	لطفاً یک نقش را انتخاب کنید	مهرباني وکړئ یوه رول وټاکئ	
please_enter_your_user_name	Please enter your user name	Introduzca su nombre de usuario	Veuillez saisir votre nom d'utilisateur	Introduza o seu nome de utilizador	"Пожалуйста, введите имя пользователя"	Silakan masukkan nama pengguna Anda	Pakilagay ang iyong user name	لطفاً نام کاربری خود را وارد کنید	مهرباني وکړئ خپل کارن نوم ولیکئ	
user_name_not_found	User name not found	Nombre de usuario no encontrado	Nom d'utilisateur non trouvé	Nome de utilizador não encontrado	Имя пользователя не найдено	Nama pengguna tidak ditemukan	Hindi nahanap ang user name	نام کاربری یافت نشد	کارن نوم وموندل شو	
multi_families	Multi Households	Multihogares	Multi-ménages	Agregados familiares múltiplos	Многоквартирные дома	Multi Rumah Tangga	Maraming Sambahayan	چند خانوار	څو کورنۍ	
is_multi_family	Is this a multi household location?	¿Se trata de una ubicación multihogar?	S'agit-il d'un lieu où vivent plusieurs ménages ?	Este é um local com vários agregados familiares?	Является ли это место расположения многоквартирным домом?	Apakah ini bangunan dengan banyak rumah tangga?	Ito ba ay isang lokasyon ng maraming sambahayan?	آیا این یک مکان چند خانواری است؟	ایا دا د څو کورنیو ځای دی؟	
sample	Sample	Muestra	Exemple	Amostra	Выборка	Sampel	Sample	نمونه	نموونه	
mark_status	Mark Status	Indicar estatus	Indiquez Statut	Estado da marca	Отметить статус	Tandai Status	Markahan ang Katayuan	وضعیت علامت	حالت نښه کړئ	
not_visited	Not Visited	No se ha visitado	Non visitée	Não visitado	Не посещен	Tidak Dikunjungi	Hindi binisita	بازدید نشده	نه لیدل شوی	
incomplete_collection	Incomplete Survey	Encuesta incompleta	Enquête incomplète	Inquérito Incompleto	Незавершенный опрос	Survei Tidak Lengkap	Hindi Kumpletong Survey	نظرسنجی ناقص	نیمګړی سروې	
completed_collection	Completed Survey	Encuesta completada	Enquête terminée	Inquérito concluído	Завершенный опрос	Survei Selesai	Nakumpleto ang Survey	نظرسنجی تکمیل شده	بشپړ شوی سروې	
accuracy	Accuracy : 	Precisión : 	Précision : 	Exatidão : 	Точность :	Akurasi:	Katumpakan:	دقت: 	دقیقوالی : 	
subaddress_is_required	Subaddress is Required	Se requiere subdirección	La sous-adresse est requise	O subendereço é necessário	Требуется субадрес	Sub-alamat wajib diisi	Kinakailangan ang Subaddress	زیرآدرس الزامی است	فرعي پته اړینه ده	
auto_increment_subaddress	Auto Increment Subaddress	Incremento automático de la subdirección	Incrémentation automatique de la sous-adresse	Incremento automático do subendereço	Автоматически проставлять субадрес	Pengurutan Sub-Alamat Otomatis	Sub-address ng Auto Increment	افزایش خودکار زیرآدرس	خودکاره زیاتیدونکې فرعي پته	
allow_manual_identification_of_locations	Allow manual identification of locations	Permitir la identificación manual de ubicaciones	Permettre l'identification manuelle des lieux	Permitir a identificação manual de localizações	Разрешить ручную идентификацию местоположений	Izinkan identifikasi lokasi secara manual	Payagan ang manu-manong pagkilala sa mga lokasyon	اجازه شناسایی دستی مکان	د ځایونو لاسي پیژندنه اجازه ورکړئ	
proximity_warning_enabled	Proximity Warning Enabled	Aviso de proximidad activado	Avertissement de proximité activé	Aviso de proximidade ativado	Включено предупреждение о приближении	Peringatan Kedekatan Diaktifkan	Naka-enable ang Proximity Warning	هشدار نزدیکی فعال است	د نږدېوالي خبرداری فعال دی	
encryption_password	Encryption Password	Contraseña de encriptación	Mot de passe de cryptage	Palavra-passe de encriptação	Пароль шифрования	Kata Sandi	Password sa Pag-encrypt	رمز عبور رمزگذاری	د کوډ کولو پټنوم	
enter_encryption_password	Enter Encryption Password	Ingrese la contraseña de encriptación	Entrer le mot de passe de cryptage	Introduzir palavra-passe de encriptação	Введите пароль шифрования	Masukkan Kata Sandi Enkripsi	Ipasok ang Password sa Pag-encrypt	رمز عبور رمزگذاری را وارد کنید	د کوډ کولو پټنوم ولیکئ	
summary	Summary	Resumen	Résumé	Resumo	Сводка	Ringkasan	Buod	خلاصه	لنډیز	
num_enumeration_areas	# Enumeration Areas:	# Áreas de Enumeración:	# Zones de dénombrement :	# Áreas de Enumeração:	Кол-во областей регистрации:	# Area Pencacahan:	Bilang ng Enumeration Area:	تعداد حوزه	د شمېرنې ساحو شمېر:	
num_hhs_enumerated	# HH\'s Enumerated:	# Hogares censados	# Ménages recensés :	# Agregados Familiares Enumerados:	Кол-во зарегистрированных домохозяйств:	# RT Dihitung:	Bilang ng mga Sambahayan na Naitala:	تعداد خانوارهای سرشماری	د شمېرل شویو کورنیو شمېر:	
num_hhs_eligible	# HH\'s Eligible:	# Hogares elegibles:	# Ménages éligibles :	# Agregados Familiares Elegíveis:	"Кол-во домохозяйств, отвечающих критериям:"	# RT yang Memenuhi Syarat:	Bilang ng mga Sambahayan na Kwalipikado:	تعداد خانوارهای واجد شرایط:	د وړ کورنیو شمېر:	
num_hhs_sampled	# HH\'s Sampled:	# Hogares muestreados	# Ménages échantillonnés :	# Agregados Familiares Amostrados:	Кол-во домохозяйств в выборке:	# Sampel RT:	Bilang ng mga Sambahayan na Na-sample:	تعداد خانواده	د نمونې په توګه اخیستل شویو کورنیو شمېر:	
num_hhs_surveyed	# HH\'s Surveyed:	# Hogares encuestados:	# Nombre de ménages enquêtés:	# Agregados Familiares Inquiridos:	Кол-во обследованных домохозяйств:	# RT yang Disurvei:	Bilang ng mga Sambahayan na Sinuri:	تعداد خانواده	د سروې شویو کورنیو شمېر:	
num_hhs_remaining_to_survey	# HH\'s Remaining to Survey:	# Hogares pendientes de encuestar:	# Ménages restant à enquêter :	# Agregados Familiares que Faltam Inquirir:	"Кол-во домохозяйств, оставшихся для опроса:"	# Sisa RT yang Harus Disurvei:	Bilang ng mga Sambahayan na Natitira sa Survey:	تعداد خانوارهای باقی	د سروې لپاره پاتې کورنۍ:	
decryption_failed	Decryption failed.  Please try again.	La desencriptación ha fallado.  Inténtelo de nuevo.	Le décodage a échoué.  Veuillez réessayer.	"A descodificação falhou.  Por favor, tente novamente."	"Расшифровка не удалась.  Пожалуйста, попробуйте еще раз."	Dekripsi gagal. Silakan coba lagi.	Nabigo ang pag-decryption. Pakisubukang muli.	رمزگشایی ناموفق بود.  لطفاً دوباره تلاش کنید.	د کوډ ماتولو هڅه ناکامه شوه. مهرباني وکړئ بیا هڅه وکړئ.	
rename_or_delete	Would you like to Rename or Delete the Enumeration Area ?	¿Desea cambiar el nombre o eliminar el área de enumeración?	Souhaitez-vous renommer ou supprimer la zone de dénombrement ?	Gostaria de mudar o nome ou eliminar a área de enumeração?	Вы хотите переименовать или удалить область регистрации?	Apakah Anda ingin Mengganti Nama atau Menghapus Area Pencacahan?	Gusto mo bang Palitan ang pangalan o Tanggalin ang Enumeration Area ?	آیا می	ایا غواړئ د شمېرنې ساحه نوم بدل کړئ یا یې حذف کړئ؟	
rename	Rename	Renombrar	Renommer	Mudar o nome	Переименовать	Ganti nama	Palitan ang pangalan	نام	نوم بدل کړئ	
